2026-08-26T18:00:56Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T21:09:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T21:22:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T21:23:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:00:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:01:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:02:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:03:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:04:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:05:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:06:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:07:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:08:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:09:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:10:07Z box busy=0.4% (~0.0/4 cores) MemAvailable=13.8 GB; 1 entry queued
2026-08-26T22:10:07Z LAUNCHED team=ansys-verification case=VMFLGPU001 pid=68138 sid=68138 ranks=1 est=24.0 core-min prereg=9010f176 STATUS=/home/ubuntu/Certonomous/verification/runs/ansys_verification/VMFLGPU001/STATUS.VMFLGPU001
2026-08-26T22:11:07Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:12:01Z START pid=70735 sid=70735 root=/home/ubuntu/gpu_queue ceiling=85.0% core_fraction=0.9 interval=60.0s HEAD=9010f176 exit_logging=SIGTERM+SIGINT+SIGHUP+exception+normal
2026-08-26T22:12:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:13:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:14:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:15:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:16:01Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:17:06Z box busy=0.9% (~0.0/4 cores) MemAvailable=13.8 GB; 1 entry queued
2026-08-26T22:17:06Z LAUNCHED team=ansys-verification case=VMFLGPU001 pid=73131 sid=73131 ranks=1 est=24.0 core-min prereg=8d2b789e STATUS=/home/ubuntu/Certonomous/verification/runs/ansys_verification/VMFLGPU001/STATUS.VMFLGPU001
2026-08-26T22:17:32Z EXIT reason=SIGTERM pid=70735
2026-08-26T22:18:02Z START pid=74823 sid=74823 root=/home/ubuntu/gpu_queue ceiling=85.0% core_fraction=0.9 interval=60.0s HEAD=8d2b789e exit_logging=SIGTERM+SIGINT+SIGHUP+exception+normal
2026-08-26T22:18:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:19:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:20:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:21:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:22:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:23:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:24:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:25:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:26:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:27:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:28:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:29:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:30:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:31:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:32:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:33:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:34:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:35:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:36:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:37:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:38:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:39:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:40:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:41:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:42:02Z EMPTY: no entries in any team queue; nothing launched
2026-08-26T22:43:07Z box busy=26.9% (~1.1/4 cores) MemAvailable=13.6 GB; 1 entry queued
2026-08-26T22:43:07Z REFUSED /home/ubuntu/gpu_queue/ansys-verification/VMFL011-R3.json -> /home/ubuntu/gpu_queue/ansys-verification/refused/VMFL011-R3.json: AGE-GUARD: cwd /home/ubuntu/Certonomous/verification/runs/ansys_verification/VMFL011-R3 does not exist as a directory, so it cannot be shown free of a prior answer.
2026-08-26T22:44:07Z EMPTY: no entries in any team queue; nothing launched
